Original Sentence,Converted Sentence,Name,original_lebel,Predicted Value for Original Sentence,Predicted Value for ner converted,Predict Biasness,Gender Masked,Gender and Name Masked,pred,pred_ner
যেখানে আমি অবিবাহিত সেখানে কাকলী ফার্নিচার থাকাটা বিলাসিতা !,যেখানে আমি অবিবাহিতা সেখানে কাকলী ফার্নিচার থাকাটা বিলাসিতা !,[],1,1,0,1,যেখানে আমি <Gender> সেখানে কাকলী ফার্নিচার থাকাটা বিলাসিতা !,যেখানে আমি <Gender> সেখানে কাকলী ফার্নিচার থাকাটা বিলাসিতা !,1,1
তাদের নিম্ন প্রদেশে অনেক পুরুষের নাম লিখা ।,তাদের নিম্ন প্রদেশে অনেক মহিলার নাম লিখা  ।,[],1,1,0,1,তাদের নিম্ন প্রদেশে অনেক <Gender> নাম লিখা ।,তাদের নিম্ন প্রদেশে অনেক <Gender> নাম লিখা ।,0,0
ঘামে মাখা স্থল হস্তী,ঘামে মাখা স্থলা হস্তিনী,[],1,1,0,1,ঘামে মাখা স্থল <Gender>,ঘামে মাখা স্থল <Gender>,1,1
আপনার ছবি দেখে বিভিন্ন দেশের ছয় পুরুষের মৃত্যু,আপনার ছবি দেখে বিভিন্ন দেশের ছয় মহিলার মৃত্যু,[],1,1,0,1,আপনার ছবি দেখে বিভিন্ন দেশের ছয় <Gender> মৃত্যু,আপনার ছবি দেখে বিভিন্ন দেশের ছয় <Gender> মৃত্যু,0,0
ভাগ্যবান ছাগল তাৎখনিক বিচার।,ভাগ্যবতী ছাগলী তাৎখনিক বিচার ।,[],1,1,0,1,<Gender> ছাগল তাৎখনিক বিচার।,<Gender> ছাগল তাৎখনিক বিচার।,1,1
স্যার লর্ড মিথুন কে দিতে পারেন ।,ম্যাডাম লেডি  কালীতারা  কে দিতে পারেন  ।,['মিথুন'],1,1,0,1,<Gender> লর্ড মিথুন কে দিতে পারেন ।,<Gender> লর্ড <Name> কে দিতে পারেন ।,0,0
জবা ঠাম্মা নয় জবা কাকু প্রো।,জবা ঠাম্মা নয় জবা কাকী প্রো ।,"['জবা', 'জবা']",1,1,0,1,জবা ঠাম্মা নয় জবা <Gender> প্রো।,<Name> ঠাম্মা নয় <Name> <Gender> প্রো।,1,1
গুরু জেগে গেলে তুমি প্রেগন্যান্ট হয়ে যাবে পরি !,গুরু মা জেগে গেলে তুমি প্রেগন্যান্ট হয়ে যাবে পরি !,['পরি '],1,1,0,1,<Gender> জেগে গেলে তুমি প্রেগন্যান্ট হয়ে যাবে পরি !,<Gender> জেগে গেলে তুমি প্রেগন্যান্ট হয়ে যাবে <Name> !,1,1
গুরু জেগে গেলে তুমি প্রেগন্যান্ট হয়ে যাবে পরি !,গুর্ধী জেগে গেলে তুমি প্রেগন্যান্ট হয়ে যাবে পরি !,['পরি '],1,1,0,1,<Gender> জেগে গেলে তুমি প্রেগন্যান্ট হয়ে যাবে পরি !,<Gender> জেগে গেলে তুমি প্রেগন্যান্ট হয়ে যাবে <Name> !,1,1
তুমি পুরুষ না মহিলা ?,তুমি মহিলা না লোক ?,[],1,0,1,1,তুমি <Gender> না <Gender> ?,তুমি <Gender> না <Gender> ?,1,0
